day,temperature_2m,apparent_temperature,et0_fao_evapotranspiration,soil_temperature_0_to_7cm
2023-02-11,28.111418,32.077827,0.1909743,29.459333
2023-02-12,28.234331,32.475086,0.18948825,29.536415
2023-02-13,27.398916,31.501017,0.1864668,28.90725
2023-02-14,27.0885,30.989729,0.14828697,28.267664
2023-02-15,27.490583,31.394598,0.17956589,28.751
2023-02-16,27.442665,30.459295,0.19589366,28.755165
2023-02-17,27.9135,31.649893,0.2047968,29.021833
2023-02-18,26.68225,31.425627,0.14749335,28.248917
2023-02-19,27.003082,31.621475,0.17068791,28.336416
2023-02-20,26.209333,30.36228,0.1404437,27.511415
2023-02-21,26.9885,30.593811,0.21437138,28.426
2023-02-22,27.003082,30.591295,0.211271,28.603083
2023-02-23,27.417665,31.264128,0.20284116,28.859335
2023-02-24,27.378082,30.714727,0.2103434,28.926
2023-02-25,26.346832,28.308258,0.22450887,28.098915
2023-02-26,27.173918,28.48899,0.24591392,28.309334
2023-02-27,27.111418,29.903593,0.19855578,28.165583
2023-02-28,28.09475,32.018314,0.19208173,29.134333
2023-03-01,27.828081,32.13518,0.19233519,29.24475
2023-03-02,28.098915,31.53834,0.22363643,29.678083
2023-03-03,26.815582,29.808622,0.21040593,28.58225
2023-03-04,25.967667,28.710249,0.186867,27.6635
2023-03-05,26.026,28.830572,0.21834248,27.815582
2023-03-06,26.123917,28.716063,0.22934704,27.903084
2023-03-07,26.571833,28.97718,0.236219,28.178083
2023-03-08,26.740583,29.66076,0.23503928,28.203081
2023-03-09,26.230165,29.47161,0.2225806,27.865583
2023-03-10,26.623917,29.771484,0.2385556,28.228083
2023-03-11,27.103083,30.317406,0.21932153,28.359331
2023-03-12,26.965584,30.091505,0.19954728,28.217667
2023-03-13,26.692665,29.62535,0.22753762,28.551
2023-03-14,27.19475,30.443178,0.23473783,28.961416
2023-03-15,27.88225,30.779562,0.2387382,29.642668
2023-03-16,28.171835,31.419142,0.2320732,30.084333
2023-03-17,28.142668,31.464762,0.22005223,29.892668
2023-03-18,28.325998,31.767517,0.23434009,30.030167
2023-03-19,28.794748,32.332474,0.24104701,30.373917
2023-03-20,28.138498,32.05549,0.20663331,29.669748
2023-03-21,28.421831,32.69107,0.23151518,29.953085
2023-03-22,28.482248,32.672306,0.23084547,30.009333
2023-03-23,28.723917,33.038387,0.2201161,30.057251
2023-03-24,28.684334,33.22995,0.21442781,29.990583
2023-03-25,27.659332,31.766459,0.20341556,29.196833
2023-03-26,28.617666,33.075165,0.24058807,30.030167
2023-03-27,29.209333,33.53992,0.2372898,30.203081
2023-03-28,29.505165,33.426506,0.24499865,30.46975
2023-03-29,28.623917,32.972446,0.19875424,30.19475
2023-03-30,28.223915,33.204216,0.19903986,29.70725
2023-03-31,28.096832,32.42922,0.19866985,29.890581
2023-04-01,27.686417,31.90656,0.19143492,29.4385
2023-04-02,29.294748,33.781796,0.24230564,30.726
2023-04-03,28.176,33.57778,0.1807852,29.630167
2023-04-04,28.878082,34.192066,0.2070713,29.980165
2023-04-05,28.998917,34.094883,0.20593332,30.484335
2023-04-06,30.259333,35.332172,0.23866569,31.651
2023-04-07,29.807251,34.428066,0.23407345,31.588501
2023-04-08,30.542665,34.912647,0.24728288,32.0135
2023-04-09,29.621834,35.032154,0.21151666,31.44475
2023-04-10,29.090584,34.667316,0.20173843,30.76975
2023-04-11,29.044748,34.703297,0.20013182,30.828085
2023-04-12,29.403084,35.366665,0.21455856,30.953085
2023-04-13,29.692667,35.978565,0.21620266,30.573915
2023-04-14,29.732248,35.727795,0.21960038,30.75725
2023-04-15,28.784332,35.271694,0.19908874,30.15725
2023-04-16,28.265581,34.9975,0.16087414,29.378082
2023-04-17,28.628082,34.260384,0.19024776,29.780167
2023-04-18,29.317665,34.78565,0.21502893,30.301
2023-04-19,29.817667,35.452236,0.22054762,30.790583
2023-04-20,30.121834,35.912,0.22549008,31.059334
2023-04-21,30.317667,36.431126,0.2038986,31.123917
2023-04-22,30.203085,36.064713,0.21724428,31.390585
2023-04-23,30.192667,35.260574,0.25060865,31.723917
2023-04-24,30.730165,36.22671,0.23876965,31.792665
2023-04-25,30.751,35.991894,0.25881574,31.90725
2023-04-26,30.236418,35.648174,0.22094691,31.246834
2023-04-27,30.003082,35.35143,0.22537862,31.515585
2023-04-28,30.196833,35.68883,0.21475977,31.711416
2023-04-29,30.103083,35.481583,0.23044908,31.865583
2023-04-30,29.440582,35.140793,0.19886285,31.167665
2023-05-01,30.236418,35.450367,0.23119564,31.680166
2023-05-02,30.65725,35.796932,0.23720473,32.296833
2023-05-03,30.817665,36.14529,0.21367358,32.390583
2023-05-04,30.792665,36.364986,0.2147023,32.265583
2023-05-05,30.967667,36.87756,0.22073321,32.5385
2023-05-06,31.998917,37.940594,0.23765446,33.33433
2023-05-07,30.9885,37.04006,0.21379362,32.046833
2023-05-08,28.773916,35.568928,0.12715308,29.848915
2023-05-09,28.353083,34.822884,0.16401508,29.461416
2023-05-10,28.884333,35.250652,0.17654689,29.953085
2023-05-11,28.90725,35.41901,0.16232353,30.178083
2023-05-12,28.8385,34.88007,0.16091327,29.948915
2023-05-13,29.367666,35.609238,0.18205988,30.700998
2023-05-14,29.253082,34.972675,0.17399496,30.492666
2023-05-15,29.959333,35.757084,0.2103213,31.338501
2023-05-16,29.794748,35.985756,0.19299202,30.86975
2023-05-17,30.267668,36.867397,0.20684494,31.051
2023-05-18,29.467667,36.071392,0.18725495,30.761415
2023-05-19,30.200998,36.491543,0.19249381,31.248917
2023-05-20,29.6885,35.730244,0.180665,30.86975
2023-05-21,28.251,34.633087,0.15258889,29.473915
2023-05-22,28.546831,34.54476,0.18684135,29.80725
2023-05-23,29.421835,35.19035,0.21190852,30.073915
2023-05-24,28.763498,34.953518,0.1747306,29.84475
2023-05-25,29.205168,35.03112,0.1792978,30.140585
2023-05-26,28.596832,35.015583,0.1832544,29.761415
2023-05-27,27.542665,34.23853,0.14288674,28.71975
2023-05-28,27.55725,33.994976,0.14278325,28.455164
2023-05-29,27.873917,34.003216,0.1422155,28.71975
2023-05-30,29.111418,34.893116,0.18814428,29.561417
2023-05-31,28.498917,34.44442,0.16608031,29.403084
2023-06-01,28.555166,34.444336,0.13539478,29.065582
2023-06-02,28.95725,35.118217,0.14940886,29.526
2023-06-03,29.09475,35.360077,0.17184226,29.992666
2023-06-04,28.490583,34.763515,0.17111926,29.65725
2023-06-05,28.296831,34.462273,0.15563141,29.3135
2023-06-06,27.742666,33.266483,0.15969403,28.309332
2023-06-07,27.046831,32.84048,0.107858784,27.678083
2023-06-08,27.680166,33.16331,0.13892527,28.257248
2023-06-09,27.792665,33.03857,0.14276843,28.228083
2023-06-10,27.896833,33.395855,0.16010194,28.417665
2023-06-11,28.107248,33.198776,0.15391566,28.336416
2023-06-12,27.848915,33.766834,0.12419934,28.428083
2023-06-13,28.3385,34.17207,0.16535497,28.700998
2023-06-14,28.950998,34.854454,0.18353498,29.40725
2023-06-15,29.19475,35.280964,0.1970634,29.9635
2023-06-16,29.273916,35.570347,0.18700065,30.065582
2023-06-17,28.134333,34.324787,0.16131468,29.303083
2023-06-18,27.71975,33.271946,0.15683226,28.805166
2023-06-19,28.90725,34.65459,0.20332299,29.805166
2023-06-20,28.88225,34.802944,0.17071919,30.08225
2023-06-21,29.009333,34.726444,0.18129075,30.123917
2023-06-22,29.630165,35.130535,0.2133488,30.69475
2023-06-23,29.95725,36.12981,0.20418389,31.0385
2023-06-24,28.84475,34.96938,0.15275513,30.309334
2023-06-25,28.078081,34.67455,0.15303092,29.280167
2023-06-26,28.64475,35.163143,0.17061321,29.71975
2023-06-27,28.505165,34.8306,0.17584312,29.80725
2023-06-28,28.044748,34.379463,0.14278558,29.263498
2023-06-29,27.74475,33.461243,0.13826223,29.1135
2023-06-30,28.303083,34.126648,0.17041202,29.18225
2023-07-01,27.867666,33.82572,0.15046383,28.673914
2023-07-02,27.517664,33.91477,0.13082838,28.103083
2023-07-03,28.044748,34.282166,0.18004924,28.801
2023-07-04,28.615583,34.597965,0.19248618,29.428083
2023-07-05,28.696833,34.59683,0.20073622,29.890581
2023-07-06,27.648916,34.08375,0.14737044,28.998917
2023-07-07,28.7385,34.664158,0.18473868,29.638498
2023-07-08,28.107248,33.714348,0.15567048,29.196833
2023-07-09,27.405167,33.503033,0.15116565,28.561417
2023-07-10,28.44475,34.370525,0.19014134,29.176
2023-07-11,28.765581,34.897785,0.19091052,29.80725
2023-07-12,28.692665,34.922382,0.17782123,29.71975
2023-07-13,28.790583,34.95319,0.1761285,29.842667
2023-07-14,28.196833,34.201294,0.1639608,29.251
2023-07-15,28.301,33.725037,0.1375862,28.65725
2023-07-16,27.896833,32.89674,0.14787994,28.267664
2023-07-17,27.384333,32.219353,0.1408677,27.665583
2023-07-18,26.911415,31.930725,0.116712876,27.376
2023-07-19,26.886415,32.12763,0.12974383,27.405167
2023-07-20,26.33225,31.88299,0.10123726,26.871832
2023-07-21,26.392664,32.14094,0.11216923,27.042665
2023-07-22,26.455164,32.228317,0.11017335,27.028082
2023-07-23,26.630165,32.281597,0.12087363,27.200998
2023-07-24,26.34475,32.00434,0.10001261,26.803083
2023-07-25,27.053083,32.616894,0.12538342,27.33225
2023-07-26,27.830164,33.205944,0.164333,27.913498
2023-07-27,27.3135,32.599865,0.11106091,27.430166
2023-07-28,28.026,33.259136,0.15631138,28.030167
2023-07-29,27.384333,32.917583,0.12831478,27.615583
2023-07-30,27.007248,32.61665,0.11011139,27.24475
2023-07-31,27.461416,32.99222,0.123623274,27.634333
2023-08-01,27.734331,33.261837,0.13521872,27.992666
2023-08-02,28.061417,33.29169,0.16398408,28.465582
2023-08-03,27.64475,32.673367,0.1377347,28.0885
2023-08-04,28.065582,33.31214,0.1662644,28.386415
2023-08-05,28.14475,33.142414,0.18629307,28.603083
2023-08-06,28.617666,33.44707,0.20019917,28.855165
2023-08-07,28.95725,33.729576,0.20554392,29.30725
2023-08-08,28.71975,33.804146,0.19700487,29.303083
2023-08-09,28.930166,34.132633,0.20332348,29.5635
2023-08-10,28.990583,34.66847,0.18976265,29.811417
2023-08-11,29.209333,34.491203,0.19550629,29.876
